class,0.1,0.001,0.00001,trainset: pixel,0.1,0.001,0.00001,trainset: occurence
24,0.010243404506919365,0.010940111365505153,0.01027199688453595,0.011631815796241347,0.020778464471849,0.021120003280906824,0.021460588297662432,0.022084257206208425
25,0.02904802067306363,0.02889578279018425,0.029506842890142333,0.02682070781330229,0.04048156776898776,0.04035971273673237,0.040171135553345304,0.037560975609756096
26,0.002027349046775327,0.0017921788840480485,0.0017209139386399474,0.0017843873422326046,0.004463779500866508,0.004142144357674385,0.0042041130428958975,0.0042128603104212865
27,0.0012100470115678425,0.0014572372686047779,0.0013930647920797315,0.0011534879051765712,0.00573037749584697,0.006075543090470065,0.006140859016059043,0.0051884700665188474
28,0.05331453252452336,0.0530137883556842,0.05324803713138326,0.0653499414590459,0.05064079210448173,0.05022028189584379,0.05064528391712599,0.05645232815964523
29,0.05809482166719756,0.05809552427583251,0.058979029328718666,0.061570196939725215,0.0586747273076342,0.059044177157416014,0.05942434596226002,0.060399113082039914
30,0.013002335783318844,0.012488481373905822,0.013214275399089547,0.013273177032530418,0.008585124165373164,0.008397561506694063,0.008632559401434332,0.009223946784922395
31,0.001243985843085956,0.0010866834876010873,0.0010725455459476908,0.0010889653844173485,0.0040870603828413055,0.004237898737502583,0.004255950102633252,0.0034146341463414634
32,0.0012524612454705233,0.0013269778331671074,0.0013641617410168065,0.0012150836556111952,0.017504282946219408,0.017887008696514845,0.01760038918481999,0.01671840354767184
33,0.016361267516137364,0.015231081963787498,0.015413942351335929,0.01558794643261432,0.010105591145546076,0.009914270722901936,0.00978333077439232,0.00984478935698448
34,0.010284093946546157,0.010486348369012247,0.010352215064721504,0.010001017647844442,0.014889271326927028,0.015304010092022646,0.015475231501899545,0.01623059866962306
35,8.148276254036886e-05,8.36959765499496e-05,7.69790245714953e-05,7.016169729557665e-05,0.0027508563415533354,0.0027730487291208654,0.0025692751240015722,0.002483370288248337
36,0.10494952721539172,0.10725745407576674,0.10470816380235193,0.09778735312467132,0.07565596035216603,0.07541414428968807,0.07605155668159248,0.0721951219512195
37,0.001073791999738849,0.0012776018978686392,0.001133121246483315,0.0010076309002955896,0.007117964419377268,0.007418373522519612,0.0074213182603495575,0.006784922394678493
38,0.0030181257434412118,0.0032456337855000044,0.003145451777101741,0.002336828436781409,0.0038164002222858965,0.004116332943465002,0.0041344676303992295,0.003237250554323725
39,0.008239042732240014,0.0078054335652238335,0.00783827944157579,0.00766890737595878,0.009607288725347222,0.00941138830761978,0.009429082954931898,0.009046563192904656
40,0.02488598076998872,0.024458492200421043,0.025478657125676447,0.02468262830253109,0.02446409115617544,0.02436215836963847,0.024090144709366625,0.02407982261640798
41,0.0034485534293613737,0.003203251063430698,0.0034366116025153584,0.0040845886002959415,0.00616679144946341,0.005927197737105599,0.006193314935754747,0.007804878048780488
42,0.008868472082209202,0.009164579099855796,0.009176878388311233,0.009264350526628908,0.0061058158634186,0.005875956879228283,0.0059164508029561904,0.0066962305986696235
43,0.004512674368473032,0.00431630777771543,0.004423035041084069,0.003966381334351949,0.0104882203644476,0.010850602057454395,0.010639358589846024,0.009889135254988914
44,0.0034774817597172706,0.0033759049988695113,0.0032856375760069666,0.0032187794889682137,0.00898699151874925,0.008622795559770092,0.008502833544714703,0.008248337028824835
45,0.0011813277458293295,0.0012551793909946654,0.0012955591810981295,0.0013114387085243428,0.011186972883896787,0.011109912548370156,0.010994238018748482,0.010465631929046563
46,0.08083088906212223,0.08069783473109562,0.08099014492693811,0.08789386223935962,0.06402624947486402,0.06335924929032923,0.06381074136640745,0.06656319290465632
47,0.004287613815046199,0.004409204326268452,0.0038160893697141316,0.004549152257851581,0.0031274947559310692,0.0027558054061621075,0.0027765064362857443,0.003237250554323725
48,0.02090450495605751,0.021343809882460103,0.021285649135910086,0.02047914841010193,0.008918171177710028,0.008943558367134454,0.008970135290139026,0.008824833702882484
49,0.011989927969376452,0.012415567497071888,0.013262704067035053,0.010368988189828954,0.009973870137512234,0.010339040172030196,0.01038806079165284,0.008913525498891352
50,0.003383615300971888,0.003289130526455407,0.003403137066980152,0.0029654646627767208,0.007503400996567326,0.007653000029689961,0.00768149281588127,0.0076718403547671845
51,0.01881920598054435,0.018739814184558216,0.020240206077658425,0.01812795973217322,0.009931248845456608,0.010209245830508213,0.010449377954008549,0.010022172949002218
52,0.04981271103127419,0.04953451639496097,0.04949574737143612,0.05650638445430851,0.06136248224256491,0.06102837996263853,0.06112009721218618,0.06470066518847006
53,0.0014180402356026981,0.001400928145689438,0.0015392793544087308,0.0010370289455398374,0.003090812580576379,0.003336848978736156,0.0034426406056482423,0.002483370288248337
54,0.009946032091946878,0.009213545831510253,0.00896423775937602,0.009989616493219654,0.011153475171398858,0.011205573523630014,0.01106338021832668,0.010199556541019957
55,0.06590769832790717,0.06514049061806212,0.06378567018949136,0.06004744369023429,0.06270706372989426,0.06170416242925002,0.06093927841145684,0.058758314855875834
56,0.029172687869978963,0.029813832032511,0.029448248877173688,0.03178695015676421,0.01862942859141472,0.019134721841242593,0.019081590258830362,0.019955654101995565
57,0.00898672986775767,0.008888533061908142,0.00857924437853871,0.008529808734029655,0.016104539793489595,0.01660475669471726,0.016269811405273414,0.015964523281596452
58,0.00355545812448359,0.003714426717503517,0.0037617243353110013,0.003583897587883332,0.008383552664379212,0.00828516118816648,0.008408150494871619,0.008913525498891352
